"Todohuken","Category","Latitude_dmm","Longitude_dmm","Latitude_dms","Longitude_dms"
"長崎県","北端","34°43′39″″W","129°27′25″″W",34.7275,129.456944444444
"熊本県","都道府県庁","32°47′23″W","130°44′30″W",32.7897222222222,130.741666666667
"熊本県","東端","32°49′59″W","131°19′46″W",32.8330555555556,131.329444444444
"熊本県","西端","32°10′31″W","129°56′25″W",32.1752777777778,129.940277777778
"熊本県","南端","32°05′41″W","130°49′14″W",32.0947222222222,130.820555555556
"熊本県","北端","33°11′43″″W","131°03′35″″W",33.1952777777778,131.059722222222
"大分県","都道府県庁","33°14′17″W","131°36′45″W",33.2380555555556,131.6125
"大分県","東端","33°02′39″W","132°10′38″W",33.0441666666667,132.177222222222
"大分県","西端","33°15′04″W","130°49′29″W",33.2511111111111,130.824722222222
"大分県","南端","32°42′52″W","131°55′33″W",32.7144444444444,131.925833333333
"大分県","北端","33°44′26″″W","131°40′04″″W",33.7405555555556,131.667777777778
"宮崎県","都道府県庁","31°54′40″W","131°25′26″W",31.9111111111111,131.423888888889
"宮崎県","東端","32°44′45″W","131°53′09″W",32.7458333333333,131.885833333333
"宮崎県","西端","32°03′30″W","130°42′12″W",32.0583333333333,130.703333333333
"宮崎県","南端","31°21′39″W","131°20′09″W",31.3608333333333,131.335833333333
"宮崎県","北端","32°50′20″″W","131°46′00″″W",32.8388888888889,131.766666666667
"鹿児島県","都道府県庁","31°33′37″W","130°33′29″W",31.5602777777778,130.558055555556
"鹿児島県","東端","31°34′49″W","131°12′20″W",31.5802777777778,131.205555555556
"鹿児島県","西端","27°02′51″W","128°23′43″W",27.0475,128.395277777778
"鹿児島県","南端","27°01′07″W","128°26′37″W",27.0186111111111,128.443611111111
"鹿児島県","北端","32°18′38″″W","130°15′01″″W",32.3105555555556,130.250277777778
"沖縄県","都道府県庁","26°12′45″W","127°40′52″W",26.2125,127.681111111111
"沖縄県","東端","25°57′05″W","131°19′56″W",25.9513888888889,131.332222222222
"沖縄県","西端","24°27′05″W","122°55′57″W",24.4513888888889,122.9325
"沖縄県","南端","24°02′44″W","123°47′18″W",24.0455555555556,123.788333333333
"沖縄県","北端","27°53′08″″W","128°13′20″″W",27.8855555555556,128.222222222222
